"Liste de catégories","","","",""
"Critères de filtre","","Contenu de la barre de recherche: N / A","",""
"sl","Nom de catégorie","ID de catégorie","Priorité","Statut"
"1","Menu Enfant","158","haut","Actif"
"2","Accompagnements","151","moyen","Actif"
"3","Boulangeries","144","moyen","Actif"
"4","Épiceries","139","haut","Actif"
"5","Essentiel","138","normale","Actif"
"6","Dessert","110","moyen","Actif"
"7","Végétarienne","108","moyen","Actif"
"8","Promo","107","haut","Actif"
"9","Viande et Poisson","95","normale","Actif"
"10","Fruits et Légumes","94","normale","Actif"
"11","Boisson","93","normale","Actif"
"12","Taco","90","moyen","Actif"
"13","Cuisine Locale","7","moyen","Actif"
"14","Supermarché","6","moyen","Actif"
"15","Restaurant","5","haut","Actif"
"16","Fast Food","4","haut","Actif"
"17","Pizzérias","3","haut","Actif"
